Subject,Channel,Band,Correlation,P_Value
6,F3,Alpha,-0.180009,0.001979
6,F7,Alpha,-0.164693,0.005158
6,FC5,Alpha,0.020973,0.724422
6,FC1,Alpha,-0.078599,0.175986
6,C3,Alpha,0.012545,0.829250
6,T7,Alpha,-0.037035,0.527043
6,CP5,Alpha,-0.020052,0.730736
6,CP1,Alpha,-0.103417,0.074663
6,Pz,Alpha,-0.069137,0.234088
6,P3,Alpha,-0.037148,0.522959
6,P7,Alpha,0.015859,0.785128
6,O1,Alpha,-0.012776,0.826163
6,Oz,Alpha,0.061860,0.287147
6,O2,Alpha,0.078217,0.179577
6,P4,Alpha,-0.037133,0.523121
6,P8,Alpha,-0.030259,0.602876
6,CP6,Alpha,-0.003378,0.953697
6,CP2,Alpha,-0.109572,0.058859
6,Cz,Alpha,-0.107903,0.063740
6,C4,Alpha,-0.027728,0.633550
6,T8,Alpha,0.088037,0.129439
6,FC6,Alpha,-0.042552,0.467330
6,FC2,Alpha,-0.130330,0.025186
6,F4,Alpha,-0.234676,0.000047
6,F8,Alpha,-0.263899,0.000006
6,Fp2,Alpha,-0.191239,0.001562
6,AF7,Alpha,-0.283807,0.000002
6,AFz,Alpha,-0.219379,0.000146
6,F1,Alpha,-0.149468,0.010020
6,F5,Alpha,-0.131692,0.025423
6,FT7,Alpha,-0.122369,0.035982
6,FC3,Alpha,-0.051064,0.385451
6,C1,Alpha,-0.025665,0.659568
6,C5,Alpha,0.078846,0.176094
6,TP7,Alpha,-0.018279,0.753332
6,P1,Alpha,-0.069953,0.228598
6,P5,Alpha,-0.031673,0.586027
6,PO7,Alpha,0.037064,0.523900
6,PO3,Alpha,-0.002351,0.967768
6,POz,Alpha,-0.006194,0.915210
6,PO4,Alpha,0.057538,0.322223
6,PO8,Alpha,0.042425,0.465624
6,P6,Alpha,0.000809,0.988929
6,P2,Alpha,-0.095201,0.100955
6,CPz,Alpha,-0.078366,0.178010
6,TP8,Alpha,-0.044928,0.439699
6,C6,Alpha,0.083786,0.149069
6,C2,Alpha,-0.088357,0.130002
6,FC4,Alpha,-0.234205,0.000047
6,FT8,Alpha,0.095555,0.102008
6,F6,Alpha,-0.194953,0.000845
6,AF8,Alpha,-0.141327,0.017564
6,F2,Alpha,-0.183270,0.001486
7,Fp1,Alpha,0.031775,0.661730
7,Fz,Alpha,0.190330,0.007539
7,F3,Alpha,0.194417,0.006460
7,F7,Alpha,0.013707,0.853489
7,FC5,Alpha,0.175906,0.013656
7,FC1,Alpha,0.236982,0.000825
7,C3,Alpha,0.148531,0.037739
7,T7,Alpha,0.145374,0.042584
7,CP5,Alpha,0.169477,0.017563
7,CP1,Alpha,0.031749,0.658667
7,Pz,Alpha,0.138969,0.052070
7,P3,Alpha,0.192213,0.006955
7,P7,Alpha,0.041593,0.564733
7,O1,Alpha,0.083706,0.243437
7,Oz,Alpha,-0.062943,0.380797
7,O2,Alpha,-0.097279,0.174968
7,P4,Alpha,0.181472,0.010911
7,P8,Alpha,0.122913,0.086108
7,CP6,Alpha,0.313229,0.000008
7,CP2,Alpha,0.043528,0.544659
7,Cz,Alpha,0.078099,0.276569
7,C4,Alpha,0.209740,0.003173
7,T8,Alpha,0.285068,0.000054
7,FC6,Alpha,0.243851,0.000573
7,FC2,Alpha,0.143414,0.044928
7,F4,Alpha,0.192162,0.006971
7,F8,Alpha,0.172239,0.016051
